"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 14 19:47:22 CEST 2023","Wed Jun 14 19:47:33 CEST 2023","10989","All Pet Store Tests","Positive Login Tests","testowanieObiektowe.tests.PositiveLoginTest","testowanieObiektowe.tests.PositiveLoginTest","tryToLogInWithCorrectLoginAndPassword","tryToLogInWithCorrectLoginAndPassword","The goal of this test is to log in using proper username and password and chack if Dog Banner is displayed after"
"passed","Wed Jun 14 19:47:22 CEST 2023","Wed Jun 14 19:47:23 CEST 2023","653","All Pet Store Tests","Negative Login Tests","testowanieObiektowe.tests.FailedLoginTest","testowanieObiektowe.tests.FailedLoginTest","tryToLogInWithWrongUsernameAndPassword","tryToLogInWithWrongUsernameAndPassword","The goal of this test is to log in using not proper username and password and check if warning message Invalid username or password is displayed"
